user_id,R,F,M,R_score,F_score,M_score,RFM,label
3409,1,1,36.900000000000006,1,0,0,100,一般发展用户
3410,1,2,151.3,1,1,0,110,高潜力用户
3411,4,2,192.8,0,1,0,010,一般保持用户
3412,2,7,893.9,1,1,1,111,核心价值用户
3413,3,3,676.5,0,1,1,011,重点保持用户
3414,1,2,162.0,1,1,0,110,高潜力用户
3415,2,1,98.5,1,0,0,100,一般发展用户
3416,1,2,65.8,1,1,0,110,高潜力用户
3417,5,1,87.5,0,0,0,000,流失用户
3418,1,2,243.59999999999997,1,1,1,111,核心价值用户
3419,3,2,314.90000000000003,0,1,1,011,重点保持用户
3422,2,1,85.5,1,0,0,100,一般发展用户
3424,4,5,529.9000000000001,0,1,1,011,重点保持用户
3425,1,7,667.1,1,1,1,111,核心价值用户
3426,2,1,36.599999999999994,1,0,0,100,一般发展用户
3429,5,2,215.20000000000002,0,1,1,011,重点保持用户
3430,2,1,220.4,1,0,1,101,高消费流失预警用户
3433,1,1,38.6,1,0,0,100,一般发展用户
3436,1,1,73.2,1,0,0,100,一般发展用户
3437,1,1,43.3,1,0,0,100,一般发展用户
3438,1,2,447.29999999999995,1,1,1,111,核心价值用户
3439,2,1,13.8,1,0,0,100,一般发展用户
3440,1,5,488.5,1,1,1,111,核心价值用户
3441,1,4,562.4,1,1,1,111,核心价值用户
3444,2,1,56.4,1,0,0,100,一般发展用户
3445,3,2,116.19999999999999,0,1,0,010,一般保持用户
3447,1,4,312.0,1,1,1,111,核心价值用户
3448,1,2,477.5,1,1,1,111,核心价值用户
3449,1,3,400.99999999999994,1,1,1,111,核心价值用户
3450,1,3,378.8,1,1,1,111,核心价值用户
3452,1,1,140.10000000000002,1,0,0,100,一般发展用户
3453,2,2,286.3,1,1,1,111,核心价值用户
3455,5,2,281.40000000000003,0,1,1,011,重点保持用户
3457,4,1,2.8,0,0,0,000,流失用户
3458,2,1,18.6,1,0,0,100,一般发展用户
3460,3,3,504.69999999999993,0,1,1,011,重点保持用户
3462,4,1,64.0,0,0,0,000,流失用户
3464,1,3,708.4,1,1,1,111,核心价值用户
3465,5,1,114.60000000000001,0,0,0,000,流失用户
3466,4,1,53.2,0,0,0,000,流失用户
3467,1,11,1052.3000000000002,1,1,1,111,核心价值用户
3469,2,2,77.0,1,1,0,110,高潜力用户
3471,1,1,110.8,1,0,0,100,一般发展用户
3473,1,3,209.90000000000003,1,1,1,111,核心价值用户
3476,2,2,466.8,1,1,1,111,核心价值用户
3477,4,1,56.8,0,0,0,000,流失用户
3479,6,1,75.6,0,0,0,000,流失用户
3481,3,1,55.8,0,0,0,000,流失用户
3484,1,4,269.7,1,1,1,111,核心价值用户
3485,1,6,639.8000000000001,1,1,1,111,核心价值用户
3489,1,3,499.0,1,1,1,111,核心价值用户
3493,1,4,538.1,1,1,1,111,核心价值用户
3494,6,2,30.5,0,1,0,010,一般保持用户
3496,3,1,135.3,0,0,0,000,流失用户
3497,1,1,54.300000000000004,1,0,0,100,一般发展用户
3498,4,2,470.0,0,1,1,011,重点保持用户
3499,1,3,301.0,1,1,1,111,核心价值用户
3500,5,1,378.8,0,0,1,001,高消费沉睡用户
3501,4,1,81.6,0,0,0,000,流失用户
3502,4,1,294.6,0,0,1,001,高消费沉睡用户
3506,1,4,505.8,1,1,1,111,核心价值用户
3507,1,1,184.4,1,0,0,100,一般发展用户
3508,5,1,4.2,0,0,0,000,流失用户
3509,6,1,297.6,0,0,1,001,高消费沉睡用户
3510,2,1,98.0,1,0,0,100,一般发展用户
3512,6,1,120.2,0,0,0,000,流失用户
3513,6,1,39.599999999999994,0,0,0,000,流失用户
3514,5,1,216.4,0,0,1,001,高消费沉睡用户
3515,1,3,199.6,1,1,0,110,高潜力用户
3520,4,1,313.2,0,0,1,001,高消费沉睡用户
3525,2,2,166.2,1,1,0,110,高潜力用户
3529,2,3,175.4,1,1,0,110,高潜力用户
3531,2,2,63.6,1,1,0,110,高潜力用户
3532,3,1,116.0,0,0,0,000,流失用户
3534,6,1,81.9,0,0,0,000,流失用户
3535,6,1,57.6,0,0,0,000,流失用户
3539,2,2,108.0,1,1,0,110,高潜力用户
3541,5,2,291.0,0,1,1,011,重点保持用户
3545,2,1,42.0,1,0,0,100,一般发展用户
3550,1,2,419.40000000000003,1,1,1,111,核心价值用户
3556,1,1,111.0,1,0,0,100,一般发展用户
3559,6,1,120.0,0,0,0,000,流失用户
3560,1,2,165.9,1,1,0,110,高潜力用户
3561,1,1,126.4,1,0,0,100,一般发展用户
3562,5,2,300.9,0,1,1,011,重点保持用户
3564,5,1,299.6,0,0,1,001,高消费沉睡用户
3565,4,2,349.29999999999995,0,1,1,011,重点保持用户
3569,6,1,8.7,0,0,0,000,流失用户
3571,1,2,422.79999999999995,1,1,1,111,核心价值用户
3572,1,2,424.40000000000003,1,1,1,111,核心价值用户
3573,2,1,43.7,1,0,0,100,一般发展用户
3574,6,1,171.6,0,0,0,000,流失用户
3575,1,1,34.5,1,0,0,100,一般发展用户
3577,4,1,35.7,0,0,0,000,流失用户
3578,1,1,11.399999999999999,1,0,0,100,一般发展用户
3579,5,1,4.5,0,0,0,000,流失用户
3582,4,1,294.29999999999995,0,0,1,001,高消费沉睡用户
3586,2,8,738.7,1,1,1,111,核心价值用户
3587,1,3,232.9,1,1,1,111,核心价值用户
3588,4,1,132.6,0,0,0,000,流失用户
3593,3,1,73.4,0,0,0,000,流失用户
3595,2,4,614.4000000000001,1,1,1,111,核心价值用户
3596,4,2,215.2,0,1,1,011,重点保持用户
3598,2,1,88.4,1,0,0,100,一般发展用户
3600,1,1,191.6,1,0,0,100,一般发展用户
3606,2,2,457.9,1,1,1,111,核心价值用户
3609,5,1,34.2,0,0,0,000,流失用户
3611,6,1,85.6,0,0,0,000,流失用户
3612,1,1,74.0,1,0,0,100,一般发展用户
3615,3,1,0.4,0,0,0,000,流失用户
3616,3,2,107.2,0,1,0,010,一般保持用户
3621,2,1,124.0,1,0,0,100,一般发展用户
3622,1,9,1432.7,1,1,1,111,核心价值用户
3624,4,2,281.1,0,1,1,011,重点保持用户
3625,6,1,177.0,0,0,0,000,流失用户
3626,5,1,20.0,0,0,0,000,流失用户
3627,1,1,201.2,1,0,0,100,一般发展用户
3628,2,2,145.8,1,1,0,110,高潜力用户
3629,1,1,14.4,1,0,0,100,一般发展用户
3631,2,6,872.7,1,1,1,111,核心价值用户
3636,2,3,874.2,1,1,1,111,核心价值用户
3637,2,2,233.10000000000002,1,1,1,111,核心价值用户
3639,4,1,169.2,0,0,0,000,流失用户
3640,1,2,382.5,1,1,1,111,核心价值用户
3641,2,1,61.0,1,0,0,100,一般发展用户
3644,1,1,151.2,1,0,0,100,一般发展用户
3650,1,5,657.2,1,1,1,111,核心价值用户
3652,2,1,91.5,1,0,0,100,一般发展用户
3653,2,2,204.60000000000002,1,1,0,110,高潜力用户
3654,5,1,24.6,0,0,0,000,流失用户
3655,2,2,115.1,1,1,0,110,高潜力用户
3656,2,3,552.9000000000001,1,1,1,111,核心价值用户
3657,1,2,222.6,1,1,1,111,核心价值用户
3658,3,1,327.6,0,0,1,001,高消费沉睡用户
3659,1,3,411.4,1,1,1,111,核心价值用户
3660,3,3,328.29999999999995,0,1,1,011,重点保持用户
3661,6,1,148.0,0,0,0,000,流失用户
3663,1,5,457.9,1,1,1,111,核心价值用户
3665,2,1,25.4,1,0,0,100,一般发展用户
3669,4,1,4.6,0,0,0,000,流失用户
3670,1,4,139.1,1,1,0,110,高潜力用户
3671,1,3,291.2,1,1,1,111,核心价值用户
3672,1,1,39.8,1,0,0,100,一般发展用户
3674,2,3,287.09999999999997,1,1,1,111,核心价值用户
3677,3,1,18.6,0,0,0,000,流失用户
3678,3,2,405.9,0,1,1,011,重点保持用户
3681,2,1,94.2,1,0,0,100,一般发展用户
3683,3,4,513.3000000000001,0,1,1,011,重点保持用户
3684,3,3,400.7,0,1,1,011,重点保持用户
3686,4,1,247.79999999999998,0,0,1,001,高消费沉睡用户
3688,1,2,260.20000000000005,1,1,1,111,核心价值用户
3689,2,1,67.1,1,0,0,100,一般发展用户
3690,1,1,127.8,1,0,0,100,一般发展用户
